 WORKSET      N     ITERS    MEAN_S  SD_PCT   NS_ELEM  VS_PREV  DIGEST
      4K     32    976562     3.721    0.00     3.721       --  5f41a2c9f2af
      8K     45    493827     3.642    0.00     3.642    -2.1%  6c5e9fb512cc
     16K     64    244141     3.585    0.00     3.585    -1.6%  1e72afba4fb7
     24K     78    164366     3.566    0.00     3.566    -0.5%  e693aaa935b2
     32K     90    123457     3.687    0.00     3.687    +3.4%  321511b158a6
     47K    110     82645     3.977    0.00     3.977    +7.9%  d8d01fde5657
     64K    128     61035     3.985    0.00     3.985    +0.2%  2d50f499f820
     95K    156     41091     3.968    0.00     3.968    -0.4%  1ec37fb4a845
    128K    181     30524     3.966    0.00     3.966    -0.1%  7de35ba094ca
    256K    256     15259     3.953    0.00     3.953    -0.3%  79920f6836a5
    512K    362      7631     3.941    0.00     3.941    -0.3%  642dea3b8db9
      1M    512      3815     3.945    0.00     3.945    +0.1%  47eb82b877b8
      2M    724      1908     3.950    0.00     3.949    +0.1%  beee0ca14eed
      4M   1024       954     3.951    0.00     3.950    +0.0%  f0f9a53bea7c
      8M   1448       477     3.967    0.01     3.966    +0.4%  2f691de7fd31
     12M   1773       318     4.159    0.20     4.160    +4.9%  3620df0a7233
     16M   2048       238     4.882    0.03     4.891   +17.6%  3175f0cd3655
     20M   2289       191     5.573    0.02     5.569   +13.9%  4738db067979
     24M   2508       159     5.909    0.02     5.908    +6.1%  9970832fcd04
     32M   2896       119     6.106    0.01     6.118    +3.6%  02d618a5d124
     48M   3547        79     6.138    0.01     6.176    +0.9%  96fbc5c74833
     64M   4096        60     6.408    0.02     6.366    +3.1%  8873ba56c40f

NS_ELEM is the comparable column. VS_PREV is the step from the previous
working set: a knee is a sustained jump, not a single noisy point.
