elapsed_s,ns_per_line,resid_pct,phase
0.267,219.7,0.00,1
1.427,219.6,,1
2.195,219.7,,1
2.963,219.6,,1
3.731,219.6,,1
4.500,219.7,0.00,1
5.659,219.6,,1
6.428,219.6,,1
7.196,219.7,,1
7.964,219.7,,1
8.732,219.6,0.00,1
9.892,219.6,,1
10.660,219.6,,1
11.428,219.5,,1
12.196,219.7,,1
12.964,219.6,0.00,1
14.124,219.6,,1
14.893,219.7,,1
15.661,219.6,,1
16.429,219.7,,1
17.197,219.6,0.00,1
18.357,219.6,,1
19.125,219.7,,1
19.893,219.7,,1
20.663,219.6,,1
21.431,219.7,0.00,1
22.591,219.6,,1
23.359,219.6,,1
24.127,219.7,,1
24.895,219.7,,1
25.664,219.6,0.00,1
26.824,219.6,,1
27.593,219.7,,1
28.361,219.6,,1
29.129,219.6,,1
29.897,219.7,0.00,1
31.057,219.7,,1
31.825,219.6,,1
32.594,219.7,,1
33.362,219.6,,1
34.130,219.7,0.00,1
35.290,219.7,,1
36.059,219.7,,1
36.827,219.7,,1
37.595,219.6,,1
38.364,219.7,0.00,1
39.524,219.6,,1
40.292,219.6,,1
41.060,219.7,,1
41.828,219.7,,1
42.596,219.6,0.00,1
43.756,219.6,,1
44.525,219.6,,1
45.293,219.7,,1
46.061,219.7,,1
46.829,219.6,0.00,1
47.989,219.7,,1
48.757,219.6,,1
49.526,219.6,,1
50.294,219.7,,1
51.062,219.6,0.00,1
52.222,219.6,,1
52.990,219.6,,1
53.758,219.6,,1
54.526,219.6,,1
55.295,219.8,0.00,1
56.454,219.6,,1
57.223,219.7,,1
57.991,219.6,,1
58.759,219.7,,1
59.528,219.6,0.00,1
60.763,219.8,,2
61.580,221.7,,2
62.360,224.2,,2
63.141,226.9,,2
63.927,228.5,1.02,2
65.111,232.0,,2
65.906,234.5,,2
66.705,237.0,,2
67.507,238.9,,2
68.314,241.7,2.30,2
69.518,244.9,,2
70.334,247.4,,2
71.152,249.5,,2
71.975,252.5,,2
72.802,254.4,3.60,2
74.028,257.8,,2
74.863,260.3,,2
75.703,263.0,,2
76.548,265.8,,2
77.394,268.6,4.94,2
78.642,271.4,,2
79.496,273.4,,2
80.356,276.0,,2
81.222,278.9,,2
82.089,281.6,6.31,2
83.357,284.5,,2
84.234,288.0,,2
85.117,289.9,,2
86.003,292.8,,2
86.892,295.5,7.70,2
88.184,299.3,,2
89.084,301.2,,2
89.988,305.0,,2
90.897,307.0,,2
91.809,308.9,9.13,2
93.122,313.7,,2
94.046,316.4,,2
94.974,318.7,,2
95.906,321.5,,2
96.839,323.7,10.60,2
98.175,327.4,,2
99.122,331.1,,2
100.073,333.8,,2
101.026,336.3,,2
101.985,338.4,12.09,2
103.345,343.1,,2
104.314,345.3,,2
105.286,348.3,,2
106.262,351.0,,2
107.244,353.9,13.56,2
108.627,357.7,,2
109.619,359.9,,2
110.617,363.4,,2
111.617,366.2,,2
112.623,369.0,15.08,2
114.028,372.8,,2
115.044,375.2,,2
116.065,378.2,,2
117.091,381.3,,2
118.143,397.7,16.66,2
119.535,363.9,,2
120.523,358.8,,2
121.516,359.1,,2
122.515,360.7,,2
123.517,365.5,16.78,2
124.890,348.7,,2
125.879,348.9,,2
126.857,351.2,,2
127.832,350.3,,2
128.840,372.0,16.93,2
130.234,360.9,,2
131.226,359.9,,2
132.224,364.0,,2
133.220,361.9,,2
134.197,350.5,17.09,2
135.600,370.3,,2
136.612,373.2,,2
137.608,362.4,,2
138.604,362.6,,2
139.600,362.8,17.22,2
140.986,351.9,,2
141.964,352.2,,2
142.958,352.3,,2
143.962,367.6,,2
144.962,365.4,17.37,2
146.360,364.3,,2
147.364,365.6,,2
148.363,365.1,,2
149.372,367.3,,2
150.377,365.1,17.52,2
151.812,392.4,,2
152.830,376.5,,2
153.813,354.6,,2
154.822,366.0,,2
155.807,355.1,17.65,2
157.218,377.6,,2
158.237,376.7,,2
159.255,367.0,,2
160.274,378.2,,2
161.260,356.2,17.81,2
162.650,356.4,,2
163.688,378.3,,2
164.700,372.8,,2
165.740,391.2,,2
166.775,381.1,17.96,2
168.167,365.4,,2
169.207,380.8,,2
170.257,392.9,,2
171.269,368.6,,2
172.287,372.0,18.12,2
173.685,368.0,,2
174.710,381.1,,2
175.713,359.1,,2
176.756,392.2,,2
177.769,373.2,18.25,2
179.174,371.0,,2
180.210,380.4,,2
181.250,380.9,,2
182.297,387.9,,2
183.330,374.4,18.41,2
184.736,365.6,,2
185.799,394.2,,2
186.852,389.1,,2
187.889,388.7,,2
188.936,395.0,18.57,2
190.341,371.0,,2
191.416,404.4,,2
192.449,386.1,,2
193.492,393.2,,2
194.563,410.0,18.73,2
195.976,378.0,,2
196.990,375.5,,2
198.040,396.6,,2
199.071,384.9,,2
200.070,364.5,18.89,2
201.502,386.1,,2
202.509,369.9,,2
203.521,365.0,,2
204.521,365.2,,2
205.585,405.4,19.02,2
207.003,378.5,,2
208.055,399.6,,2
209.062,366.4,,2
210.062,366.4,,2
211.109,394.4,19.17,2
212.532,378.0,,2
