condition,bucket_lo_ns,bucket_hi_ns,count
engine_flat_out,3145728,3407871,1
engine_flat_out,98304,106495,1
engine_off,40960,45055,19
engine_off,45056,49151,17
engine_flat_out,5242880,5767167,1
engine_flat_out,147456,163839,1
engine_off,49152,53247,17
engine_off,53248,57343,4
engine_off,57344,61439,12
engine_flat_out,6815744,7340031,1
engine_flat_out,196608,212991,1
engine_off,61440,65535,26
engine_off,65536,73727,54
engine_off,73728,81919,70
engine_off,81920,90111,26
engine_off,90112,98303,11
dram_control,1280,1407,3
engine_normal,112,119,47
engine_normal,120,127,19
dram_control,1536,1663,2
engine_normal,128,143,6108
dram_control,48,51,1
engine_normal,144,159,136681
engine_normal,160,175,99340
dram_control,56,59,8227
engine_normal,176,191,1125
dram_control,60,63,1666
engine_normal,192,207,888
dram_control,64,71,66650
engine_normal,208,223,4200
dram_control,72,79,3024
dram_control,80,87,3831
dram_control,88,95,1262095
engine_off,112,119,94
engine_off,120,127,47
engine_off,128,143,12559
engine_off,144,159,280803
engine_off,160,175,204058
engine_off,176,191,2295
engine_off,192,207,1739
engine_off,208,223,8783
engine_flat_out,224,239,527
engine_flat_out,240,255,551
engine_flat_out,256,287,991
engine_flat_out,288,319,1352
engine_flat_out,320,351,1092
engine_flat_out,352,383,1061
engine_flat_out,384,415,995
engine_flat_out,416,447,1025
engine_flat_out,448,479,1253
engine_flat_out,480,511,1163
engine_normal,16384,18431,7358
engine_normal,18432,20479,22171
dram_control,98304,106495,3
engine_normal,20480,22527,325
dram_control,106496,114687,3
engine_normal,786432,851967,1
engine_normal,22528,24575,15
engine_normal,24576,26623,5
engine_normal,26624,28671,1
engine_normal,983040,1048575,1
engine_normal,28672,30719,5
engine_normal,30720,32767,72
engine_normal,1179648,1310719,1
engine_normal,32768,36863,246
engine_normal,36864,40959,6
engine_flat_out,7340032,7864319,1
engine_flat_out,9437184,10485759,1
engine_flat_out,262144,294911,1
engine_flat_out,10485760,11534335,1
engine_off,98304,106495,8
engine_flat_out,11534336,12582911,1
engine_flat_out,12582912,13631487,1
engine_flat_out,10240,11263,1
engine_off,114688,122879,1
engine_flat_out,11264,12287,1
engine_flat_out,14680064,15728639,1
engine_flat_out,12288,13311,5
engine_flat_out,15728640,16777215,965
engine_flat_out,13312,14335,7
engine_flat_out,14336,15359,177
engine_flat_out,15360,16383,1080
engine_normal,16777216,18874367,1786
engine_normal,18874368,20971519,60
engine_normal,20971520,23068671,114
engine_normal,29360128,31457279,3
engine_normal,224,239,502
engine_normal,240,255,558
engine_normal,256,287,991
dram_control,96,103,1529508
engine_normal,288,319,1266
dram_control,104,111,359
engine_normal,320,351,1065
dram_control,112,119,26458
engine_normal,352,383,1017
dram_control,120,127,13340
engine_normal,384,415,1013
dram_control,128,143,4144464
engine_normal,416,447,1071
dram_control,144,159,81430182
engine_normal,448,479,1208
dram_control,160,175,59527350
engine_normal,480,511,1103
dram_control,176,191,898922
dram_control,192,207,560917
dram_control,208,223,2696102
engine_off,224,239,1099
engine_off,240,255,1268
engine_off,256,287,2167
engine_off,288,319,2660
engine_off,320,351,2264
engine_off,352,383,2146
engine_off,384,415,2134
engine_off,416,447,2040
engine_off,448,479,2544
engine_off,480,511,2274
engine_flat_out,512,575,656
engine_flat_out,576,639,10
engine_flat_out,640,703,2
engine_flat_out,832,895,76581
engine_flat_out,896,959,31789167
engine_flat_out,960,1023,593621
engine_flat_out,1024,1151,4418
engine_flat_out,1152,1279,510
engine_normal,1441792,1572863,1
engine_normal,40960,45055,9
engine_normal,45056,49151,22
engine_normal,1703936,1835007,1
engine_normal,49152,53247,2
engine_normal,53248,57343,1
engine_normal,57344,61439,10
dram_control,8192,9215,1
engine_normal,61440,65535,15
engine_normal,2359296,2621439,1
engine_normal,65536,73727,40
engine_normal,73728,81919,11
engine_normal,81920,90111,5
engine_normal,90112,98303,3
dram_control,13312,14335,1
dram_control,14336,15359,228
dram_control,15360,16383,4217
engine_flat_out,524288,589823,1
engine_flat_out,589824,655359,2
engine_flat_out,16384,18431,7633
engine_flat_out,18432,20479,22169
engine_flat_out,20480,22527,319
engine_flat_out,22528,24575,12
engine_flat_out,24576,26623,6
engine_flat_out,26624,28671,2
engine_flat_out,28672,30719,4
engine_flat_out,1048576,1179647,1
engine_flat_out,30720,32767,73
engine_flat_out,32768,36863,238
engine_flat_out,36864,40959,1
engine_off,14336,15359,7
engine_off,15360,16383,30
engine_normal,67108864,75497471,1
engine_normal,512,575,652
engine_normal,576,639,10
engine_normal,640,703,1
dram_control,224,239,297970
dram_control,240,255,296864
engine_normal,768,831,1
dram_control,256,287,447318
engine_normal,832,895,75632
dram_control,288,319,403854
engine_normal,896,959,31534691
dram_control,320,351,526875
engine_normal,960,1023,588902
dram_control,352,383,404904
engine_normal,1024,1151,4394
dram_control,384,415,563061
engine_normal,1152,1279,509
dram_control,416,447,1168575
dram_control,448,479,1181871
dram_control,480,511,745328
engine_off,512,575,1350
engine_off,576,639,17
engine_off,640,703,1
engine_off,768,831,1
engine_off,832,895,155466
engine_off,896,959,64858815
engine_off,960,1023,1210651
engine_off,1024,1151,8879
engine_off,1152,1279,1037
engine_flat_out,16777216,18874367,1499
engine_flat_out,18874368,20971519,78
engine_flat_out,20971520,23068671,77
engine_flat_out,27262976,29360127,1
engine_flat_out,1280,1407,193
engine_flat_out,1408,1535,6
engine_flat_out,1536,1663,951
engine_flat_out,1664,1791,118
engine_flat_out,1920,2047,1
engine_flat_out,2304,2559,1
engine_normal,98304,106495,3
dram_control,16384,18431,19522
dram_control,18432,20479,2977
dram_control,20480,22527,433
dram_control,22528,24575,4
dram_control,24576,26623,2
dram_control,26624,28671,1
engine_normal,6815744,7340031,1
dram_control,28672,30719,2
dram_control,30720,32767,15
dram_control,32768,36863,24
dram_control,36864,40959,44
engine_flat_out,1310720,1441791,1
engine_flat_out,40960,45055,11
engine_flat_out,45056,49151,12
engine_flat_out,49152,53247,2
engine_flat_out,53248,57343,3
engine_off,16384,18431,3599
engine_flat_out,57344,61439,10
engine_off,18432,20479,57269
engine_flat_out,61440,65535,23
engine_off,20480,22527,1137
engine_flat_out,65536,73727,42
engine_off,22528,24575,43
engine_flat_out,73728,81919,11
engine_off,24576,26623,6
engine_flat_out,81920,90111,9
engine_off,26624,28671,7
engine_flat_out,90112,98303,2
engine_off,28672,30719,4
engine_off,30720,32767,14
engine_off,32768,36863,644
engine_off,36864,40959,21
engine_normal,1280,1407,195
engine_normal,1408,1535,3
engine_normal,1536,1663,1298
dram_control,512,575,320071
engine_normal,1664,1791,119
dram_control,576,639,4478
dram_control,640,703,432
engine_normal,1920,2047,3
dram_control,704,767,36
dram_control,768,831,319
dram_control,832,895,59
dram_control,896,959,126
dram_control,960,1023,123
dram_control,1024,1151,47
dram_control,1152,1279,14
engine_off,1280,1407,444
engine_off,1408,1535,3
engine_off,1536,1663,1619
engine_off,1664,1791,125
engine_off,1792,1919,2
engine_off,1920,2047,3
engine_flat_out,50331648,54525951,2
engine_off,20971520,23068671,7
engine_flat_out,112,119,48
engine_flat_out,120,127,26
engine_flat_out,128,143,6096
engine_flat_out,144,159,137550
engine_flat_out,160,175,100229
engine_flat_out,176,191,1117
engine_flat_out,192,207,885
engine_flat_out,208,223,4311
dram_control,1310720,1441791,2
dram_control,40960,45055,97
dram_control,45056,49151,81
engine_normal,11534336,12582911,1
dram_control,49152,53247,72
engine_normal,12582912,13631487,1
engine_normal,10240,11263,1
dram_control,53248,57343,3
engine_normal,13631488,14680063,2
engine_normal,393216,425983,1
engine_normal,11264,12287,1
dram_control,57344,61439,3
engine_normal,14680064,15728639,1
engine_normal,12288,13311,1
dram_control,61440,65535,6
engine_normal,15728640,16777215,677
engine_normal,13312,14335,3
dram_control,65536,73727,28
engine_normal,14336,15359,135
dram_control,73728,81919,26
engine_normal,15360,16383,1180
dram_control,81920,90111,14
dram_control,90112,98303,5
