condition,bucket_lo_ns,bucket_hi_ns,count
dram_control,1280,1407,2
dram_control,1536,1663,1
dram_control,1792,1919,1
dram_control,56,59,694
dram_control,2048,2303,1
dram_control,60,63,1009
dram_control,64,71,27517
dram_control,72,79,16144
dram_control,80,87,12763
dram_control,88,95,93601
dram_control,96,103,1623976
dram_control,104,111,193639
dram_control,112,119,4931
dram_control,120,127,955
dram_control,128,143,2789007
dram_control,144,159,4077927
dram_control,160,175,122691116
dram_control,176,191,4667052
dram_control,192,207,471270
dram_control,208,223,2055795
dram_control,224,239,893204
dram_control,240,255,186115
dram_control,256,287,396665
dram_control,288,319,493936
dram_control,320,351,1095298
dram_control,352,383,521709
dram_control,384,415,447432
dram_control,416,447,454232
dram_control,448,479,679208
dram_control,480,511,903315
dram_control,512,575,391326
dram_control,576,639,5504
dram_control,640,703,635
dram_control,704,767,89
dram_control,768,831,185
dram_control,832,895,183
dram_control,896,959,71
dram_control,960,1023,106
dram_control,1024,1151,123
dram_control,1152,1279,15
engine_off,832,895,29964
engine_off,896,959,174258562
engine_off,960,1023,3879452
engine_off,1024,1151,46305
engine_off,1152,1279,683
engine_off,1280,1407,138
engine_off,1408,1535,113
engine_off,1536,1663,4128
engine_off,1664,1791,290
engine_off,1792,1919,152
engine_off,1920,2047,18
engine_off,2048,2303,22
engine_off,2304,2559,8
engine_off,2560,2815,3
engine_off,2816,3071,1
engine_off,12288,13311,1
erasing,832,895,7343
erasing,896,959,42277461
erasing,960,1023,941990
erasing,1024,1151,11502
erasing,1152,1279,587
erasing,1280,1407,200
erasing,1408,1535,41
erasing,1536,1663,1632
erasing,1664,1791,121
erasing,1792,1919,42
erasing,2048,2303,1
erasing,2560,2815,1
erasing,114688,122879,1
erasing,425984,458751,1
erasing,589824,655359,1
erasing,983040,1048575,1
erasing,1966080,2097151,1
erasing,2883584,3145727,1
erasing,3407872,3670015,1
erasing,3670016,3932159,1
erasing,4194304,4718591,1
erasing,4718592,5242879,1
erasing,5242880,5767167,2
erasing,5767168,6291455,7
erasing,6291456,6815743,12
erasing,6815744,7340031,12
erasing,7340032,7864319,19
erasing,7864320,8388607,24
erasing,8388608,9437183,27
erasing,9437184,10485759,24
erasing,10485760,11534335,8
erasing,11534336,12582911,4
erasing,12582912,13631487,2
erasing,14680064,15728639,1
erasing,15728640,16777215,843
erasing,16777216,18874367,2367
erasing,18874368,20971519,81
erasing,20971520,23068671,156
