condition,bucket_lo_ns,bucket_hi_ns,count
engine_flat_out,8192,16383,1457
engine_flat_out,16384,32767,30734
engine_flat_out,32768,65535,340
engine_flat_out,65536,131071,68
engine_off,8388608,16777215,4
engine_off,16777216,33554431,12
engine_flat_out,262144,524287,4
engine_flat_out,524288,1048575,5
engine_flat_out,1048576,2097151,2
engine_flat_out,2097152,4194303,2
engine_flat_out,4194304,8388607,1
engine_flat_out,8388608,16777215,748
engine_flat_out,16777216,33554431,1868
engine_off,512,1023,67019358
engine_off,1024,2047,11429
engine_off,2048,4095,3
engine_off,8192,16383,853
engine_off,16384,32767,61951
engine_off,32768,65535,741
engine_off,65536,131071,177
engine_flat_out,512,1023,33242432
engine_flat_out,1024,2047,7511
engine_flat_out,2048,4095,4
