condition,bucket_lo_ns,bucket_hi_ns,count
dram,56,59,1870
dram,60,63,4189
dram,64,71,89891
dram,72,79,6505
dram,80,87,86220
dram,88,95,294858
dram,96,103,5055686
dram,104,111,598459
dram,112,119,11450
dram,120,127,7509
dram,128,143,8073195
dram,144,159,13584822
dram,160,175,355544928
dram,176,191,13565494
dram,192,207,1613450
dram,208,223,5766397
dram,224,239,2234517
dram,240,255,765233
dram,256,287,1152468
dram,288,319,1471477
dram,320,351,3158133
dram,352,383,1529207
dram,384,415,1302601
dram,416,447,1336262
dram,448,479,2025328
dram,480,511,2581868
dram,512,575,1131017
dram,576,639,14904
dram,640,703,1615
dram,704,767,145
dram,768,831,114
dram,832,895,48
dram,896,959,28
dram,960,1023,31
dram,1024,1151,50
dram,1152,1279,34
dram,1280,1407,16
dram,1408,1535,7
dram,1536,1663,4
dram,1664,1791,1
dram,2048,2303,1
nor_read,128,143,4512
nor_read,144,159,9284
nor_read,160,175,174874
nor_read,176,191,1301
nor_read,192,207,811
nor_read,208,223,3203
nor_read,224,239,509
nor_read,240,255,535
nor_read,256,287,821
nor_read,288,319,874
nor_read,320,351,1010
nor_read,352,383,868
nor_read,384,415,811
nor_read,416,447,833
nor_read,448,479,910
nor_read,480,511,980
nor_read,512,575,610
nor_read,576,639,13
nor_read,640,703,1
nor_read,832,895,34601
nor_read,896,959,175572690
nor_read,960,1023,3674183
nor_read,1024,1151,41129
nor_read,1152,1279,3099
nor_read,1280,1407,387
nor_read,1408,1535,104
nor_read,1536,1663,1144
nor_read,1664,1791,92
nor_read,1792,1919,53
nor_read,1920,2047,21
nor_read,2048,2303,12
nor_read,2304,2559,2
nor_read,2560,2815,3
nor_erase,128,143,4253
nor_erase,144,159,8596
nor_erase,160,175,164017
nor_erase,176,191,1316
nor_erase,192,207,748
nor_erase,208,223,2998
nor_erase,224,239,493
nor_erase,240,255,463
nor_erase,256,287,774
nor_erase,288,319,848
nor_erase,320,351,917
nor_erase,352,383,761
nor_erase,384,415,746
nor_erase,416,447,760
nor_erase,448,479,855
nor_erase,480,511,925
nor_erase,512,575,555
nor_erase,576,639,6
nor_erase,704,767,1
nor_erase,832,895,32056
nor_erase,896,959,164546154
nor_erase,960,1023,3447043
nor_erase,1024,1151,38293
nor_erase,1152,1279,3614
nor_erase,1280,1407,899
nor_erase,1408,1535,145
nor_erase,1536,1663,1209
nor_erase,1664,1791,82
nor_erase,1792,1919,40
nor_erase,2048,2303,3
nor_erase,2560,2815,1
nor_erase,212992,229375,1
nor_erase,983040,1048575,1
nor_erase,1179648,1310719,1
nor_erase,2097152,2359295,2
nor_erase,2359296,2621439,1
nor_erase,2883584,3145727,1
nor_erase,3407872,3670015,1
nor_erase,3670016,3932159,3
nor_erase,3932160,4194303,1
nor_erase,4194304,4718591,1
nor_erase,4718592,5242879,3
nor_erase,5242880,5767167,1
nor_erase,5767168,6291455,3
nor_erase,6291456,6815743,4
nor_erase,6815744,7340031,4
nor_erase,7340032,7864319,5
nor_erase,7864320,8388607,3
nor_erase,8388608,9437183,11
nor_erase,9437184,10485759,10
nor_erase,10485760,11534335,17
nor_erase,11534336,12582911,19
nor_erase,12582912,13631487,27
nor_erase,13631488,14680063,24
nor_erase,14680064,15728639,39
nor_erase,15728640,16777215,155
nor_erase,16777216,18874367,543
nor_erase,18874368,20971519,6
nor_erase,20971520,23068671,38
nor_write,128,143,4286
nor_write,144,159,9076
nor_write,160,175,168490
nor_write,176,191,2219
nor_write,192,207,966
nor_write,208,223,3174
nor_write,224,239,558
nor_write,240,255,482
nor_write,256,287,855
nor_write,288,319,877
nor_write,320,351,930
nor_write,352,383,782
nor_write,384,415,781
nor_write,416,447,772
nor_write,448,479,866
nor_write,480,511,979
nor_write,512,575,729
nor_write,576,639,17
nor_write,832,895,84343
nor_write,896,959,150149543
nor_write,960,1023,6063899
nor_write,1024,1151,5915218
nor_write,1152,1279,4907419
nor_write,1280,1407,5259306
nor_write,1408,1535,1692699
nor_write,1536,1663,1975
nor_write,1664,1791,372
nor_write,1792,1919,186
nor_write,1920,2047,104
nor_write,2048,2303,101
nor_write,2304,2559,15
nor_write,2560,2815,1
nor_write,2816,3071,1
nor_write,73728,81919,1
nor_write,81920,90111,16496
nor_write,90112,98303,2
nor_write_erase,128,143,4158
nor_write_erase,144,159,8913
nor_write_erase,160,175,163861
nor_write_erase,176,191,1994
nor_write_erase,192,207,905
nor_write_erase,208,223,3099
nor_write_erase,224,239,566
nor_write_erase,240,255,510
nor_write_erase,256,287,800
nor_write_erase,288,319,804
nor_write_erase,320,351,917
nor_write_erase,352,383,732
nor_write_erase,384,415,777
nor_write_erase,416,447,753
nor_write_erase,448,479,808
nor_write_erase,480,511,918
nor_write_erase,512,575,690
nor_write_erase,576,639,10
nor_write_erase,832,895,74823
nor_write_erase,896,959,140743768
nor_write_erase,960,1023,6469222
nor_write_erase,1024,1151,7457831
nor_write_erase,1152,1279,6007088
nor_write_erase,1280,1407,6414951
nor_write_erase,1408,1535,1934609
nor_write_erase,1536,1663,1362
nor_write_erase,1664,1791,432
nor_write_erase,1792,1919,216
nor_write_erase,1920,2047,143
nor_write_erase,2048,2303,146
nor_write_erase,2304,2559,74
nor_write_erase,2560,2815,64
nor_write_erase,2816,3071,31
nor_write_erase,3072,3327,5
nor_write_erase,3328,3583,3
nor_write_erase,3584,3839,1
nor_write_erase,73728,81919,2
nor_write_erase,81920,90111,12603
nor_write_erase,90112,98303,2
nor_write_erase,15728640,16777215,88
nor_write_erase,16777216,18874367,148
nor_write_erase,18874368,20971519,5
nor_write_erase,20971520,23068671,16
