condition,bucket_lo_ns,bucket_hi_ns,count
engine_flat_out,3407872,3670015,1
engine_off,40960,45055,1
engine_flat_out,5242880,5767167,1
engine_flat_out,5767168,6291455,2
engine_flat_out,6291456,6815743,6
engine_flat_out,6815744,7340031,11
engine_spaced,4194304,4718591,2
engine_spaced,4718592,5242879,2
engine_spaced,5242880,5767167,4
engine_spaced,6291456,6815743,1
engine_spaced,6815744,7340031,4
engine_spaced,196608,212991,1
engine_spaced,1280,1407,1094
engine_spaced,1408,1535,109
engine_spaced,1536,1663,1075
engine_spaced,1664,1791,65
engine_spaced,1792,1919,29
engine_spaced,56,59,5
engine_spaced,2048,2303,4
engine_spaced,60,63,11
engine_spaced,2304,2559,3
engine_spaced,64,71,157
engine_spaced,2560,2815,2
engine_spaced,72,79,59
engine_spaced,80,87,149
engine_spaced,88,95,418
engine_normal,96,103,13316
engine_normal,104,111,2068
dram_control,1280,1407,2
engine_normal,112,119,20
engine_normal,120,127,28
dram_control,1536,1663,1
engine_normal,128,143,62
engine_normal,144,159,184
dram_control,1792,1919,1
engine_normal,160,175,65
dram_control,56,59,694
engine_normal,176,191,1
dram_control,2048,2303,1
dram_control,60,63,1009
dram_control,64,71,27517
engine_normal,208,223,2
dram_control,72,79,16144
dram_control,80,87,12763
dram_control,88,95,93601
engine_off,96,103,12358
engine_off,104,111,1893
engine_off,112,119,17
engine_off,120,127,25
engine_off,128,143,72
engine_off,144,159,191
engine_off,160,175,50
engine_off,176,191,1
engine_off,208,223,1
engine_flat_out,7340032,7864319,14
engine_flat_out,7864320,8388607,15
engine_flat_out,8388608,9437183,18
engine_flat_out,9437184,10485759,15
engine_flat_out,10485760,11534335,4
engine_flat_out,11534336,12582911,2
engine_flat_out,12582912,13631487,2
engine_off,3932160,4194303,3
engine_flat_out,14680064,15728639,1
engine_flat_out,425984,458751,1
engine_flat_out,15728640,16777215,644
engine_spaced,7340032,7864319,3
engine_spaced,8388608,9437183,8
engine_spaced,9437184,10485759,4
engine_spaced,262144,294911,1
engine_spaced,10485760,11534335,5
engine_spaced,11534336,12582911,4
engine_spaced,12582912,13631487,12
engine_spaced,13631488,14680063,13
engine_spaced,14680064,15728639,5
engine_spaced,15728640,16777215,130
engine_spaced,96,103,11481
engine_spaced,104,111,1820
engine_spaced,112,119,14
engine_spaced,120,127,26
engine_spaced,128,143,74
engine_spaced,144,159,157
engine_spaced,160,175,57
engine_spaced,176,191,3
engine_spaced,208,223,1
dram_control,96,103,1623976
dram_control,104,111,193639
dram_control,112,119,4931
dram_control,120,127,955
dram_control,128,143,2789007
dram_control,144,159,4077927
dram_control,160,175,122691116
dram_control,176,191,4667052
dram_control,192,207,471270
dram_control,208,223,2055795
engine_flat_out,832,895,6325
engine_flat_out,896,959,31440693
engine_flat_out,960,1023,768340
engine_flat_out,1024,1151,8615
engine_flat_out,1152,1279,1068
engine_flat_out,851968,917503,1
engine_flat_out,983040,1048575,1
engine_off,15360,16383,1
engine_spaced,589824,655359,1
engine_spaced,655360,720895,1
engine_spaced,917504,983039,1
engine_spaced,1048576,1179647,1
dram_control,224,239,893204
dram_control,240,255,186115
dram_control,256,287,396665
engine_normal,832,895,12703
dram_control,288,319,493936
engine_normal,896,959,63154031
dram_control,320,351,1095298
engine_normal,960,1023,1531523
dram_control,352,383,521709
engine_normal,1024,1151,16944
dram_control,384,415,447432
engine_normal,1152,1279,1512
dram_control,416,447,454232
dram_control,448,479,679208
dram_control,480,511,903315
engine_off,832,895,13107
engine_off,896,959,63117699
engine_off,960,1023,1558495
engine_off,1024,1151,17276
engine_off,1152,1279,1609
engine_flat_out,16777216,18874367,1627
engine_flat_out,18874368,20971519,49
engine_flat_out,20971520,23068671,178
engine_flat_out,27262976,29360127,2
engine_flat_out,29360128,31457279,6
engine_spaced,16777216,18874367,88
engine_spaced,18874368,20971519,22
engine_spaced,20971520,23068671,11
engine_flat_out,1280,1407,522
engine_flat_out,1408,1535,37
engine_flat_out,1536,1663,2173
engine_flat_out,1664,1791,126
engine_flat_out,1792,1919,59
engine_flat_out,1920,2047,2
engine_flat_out,2048,2303,2
engine_flat_out,60,63,6
engine_flat_out,2304,2559,2
engine_flat_out,64,71,80
engine_flat_out,2560,2815,1
engine_flat_out,72,79,20
engine_flat_out,80,87,56
engine_flat_out,88,95,160
engine_normal,3072,3327,1
engine_flat_out,1310720,1441791,1
engine_flat_out,1572864,1703935,1
engine_off,16384,18431,1041
engine_flat_out,1966080,2097151,1
engine_off,18432,20479,142
engine_flat_out,2097152,2359295,1
engine_off,20480,22527,369
engine_off,22528,24575,1
engine_flat_out,2883584,3145727,1
engine_off,1179648,1310719,1
engine_off,32768,36863,11
engine_off,36864,40959,4
engine_spaced,1310720,1441791,4
engine_spaced,1703936,1835007,2
engine_spaced,2097152,2359295,3
engine_spaced,2621440,2883583,1
engine_spaced,2883584,3145727,1
engine_spaced,832,895,11915
engine_spaced,896,959,59319739
engine_spaced,960,1023,1438187
engine_spaced,1024,1151,16028
engine_spaced,1152,1279,1399
engine_normal,1280,1407,659
engine_normal,1408,1535,40
engine_normal,1536,1663,1506
dram_control,512,575,391326
engine_normal,1664,1791,94
dram_control,576,639,5504
engine_normal,1792,1919,47
dram_control,640,703,635
engine_normal,1920,2047,5
engine_normal,56,59,2
dram_control,704,767,89
engine_normal,2048,2303,1
engine_normal,60,63,7
dram_control,768,831,185
engine_normal,2304,2559,5
engine_normal,64,71,184
dram_control,832,895,183
engine_normal,72,79,74
dram_control,896,959,71
engine_normal,80,87,195
dram_control,960,1023,106
engine_normal,88,95,457
dram_control,1024,1151,123
dram_control,1152,1279,15
engine_off,1280,1407,756
engine_off,1408,1535,143
engine_off,1536,1663,8686
engine_off,1664,1791,560
engine_off,1792,1919,311
engine_off,1920,2047,4
engine_off,56,59,6
engine_off,2048,2303,8
engine_off,60,63,17
engine_off,2304,2559,4
engine_off,64,71,190
engine_off,2560,2815,2
engine_off,72,79,54
engine_off,2816,3071,3
engine_off,80,87,163
engine_off,88,95,461
engine_flat_out,67108864,75497471,3
engine_flat_out,96,103,4934
engine_flat_out,104,111,835
engine_flat_out,112,119,9
engine_flat_out,120,127,7
engine_flat_out,128,143,35
engine_flat_out,144,159,83
engine_flat_out,160,175,24
engine_flat_out,176,191,1
