elapsed_s,ns_per_line,resid_pct,phase
0.290,214.1,0.00,1
1.483,213.9,,1
2.263,213.9,,1
3.042,213.9,,1
3.822,213.9,,1
4.601,213.9,0.00,1
5.794,214.1,,1
6.584,213.9,,1
7.365,214.0,,1
8.145,213.9,,1
8.924,213.9,0.00,1
10.117,213.9,,1
10.897,213.9,,1
11.676,213.9,,1
12.456,213.8,,1
13.235,213.8,0.00,1
14.428,213.9,,1
15.208,213.9,,1
15.987,213.9,,1
16.767,213.8,,1
17.546,213.8,0.00,1
18.739,213.8,,1
19.519,214.0,,1
20.299,213.8,,1
21.078,213.9,,1
21.858,213.9,0.00,1
23.050,213.9,,1
23.830,213.9,,1
24.610,213.9,,1
25.390,213.9,,1
26.169,213.9,0.00,1
27.362,214.0,,1
28.141,213.9,,1
28.921,213.9,,1
29.700,213.9,,1
30.480,213.9,0.00,1
31.673,213.9,,1
32.452,213.9,,1
33.232,213.9,,1
34.012,213.9,,1
34.791,213.9,0.00,1
35.984,213.9,,1
36.764,213.8,,1
37.543,213.8,,1
38.323,213.9,,1
39.103,213.9,0.00,1
40.296,213.9,,1
41.076,213.9,,1
41.855,213.9,,1
42.635,213.8,,1
43.415,214.0,0.00,1
44.607,213.9,,1
45.388,213.9,,1
46.167,213.9,,1
46.947,213.9,,1
47.727,213.9,0.00,1
48.919,213.8,,1
49.699,213.8,,1
50.479,214.0,,1
51.259,214.0,,1
52.038,213.9,0.00,1
53.231,213.9,,1
54.011,213.9,,1
54.790,214.0,,1
55.570,214.0,,1
56.350,213.9,0.00,1
57.543,213.8,,1
58.322,213.9,,1
59.102,213.8,,1
59.881,213.9,,1
60.735,214.1,0.10,2
61.979,217.3,,2
62.772,220.2,,2
63.570,222.6,,2
64.370,224.5,,2
65.173,226.7,1.39,2
66.398,230.3,,2
67.212,233.6,,2
68.028,234.7,,2
68.850,238.0,,2
69.674,239.9,2.70,2
70.921,243.8,,2
71.754,245.4,,2
72.591,248.4,,2
73.433,251.1,,2
74.277,253.7,4.04,2
75.544,257.0,,2
76.397,259.2,,2
77.257,262.2,,2
78.119,264.2,,2
78.984,267.0,5.41,2
80.273,270.6,,2
81.149,273.4,,2
82.032,276.4,,2
82.916,278.3,,2
83.807,281.8,6.81,2
85.118,284.8,,2
86.017,287.8,,2
86.920,290.4,,2
87.828,293.4,,2
88.740,295.5,8.25,2
90.073,299.9,,2
90.996,302.4,,2
91.922,304.3,,2
92.853,307.2,,2
93.787,310.1,9.72,2
95.143,314.2,,2
96.089,317.1,,2
97.039,320.0,,2
97.992,322.1,,2
98.948,325.0,11.22,2
100.329,329.1,,2
101.298,332.0,,2
102.272,335.2,,2
103.250,338.2,,2
104.230,340.3,12.76,2
105.635,344.2,,2
106.633,349.3,,2
107.632,350.6,,2
108.635,353.6,,2
109.642,356.6,14.33,2
111.071,360.7,,2
112.089,363.9,,2
113.112,366.3,,2
114.140,369.2,,2
115.173,372.5,15.94,2
116.629,376.5,,2
117.673,379.6,,2
118.722,382.9,,2
119.776,386.1,,2
120.834,388.5,17.59,2
122.317,393.5,,2
123.388,396.1,,2
124.463,399.7,,2
125.544,403.2,,2
126.630,405.7,19.27,2
128.139,410.7,,2
129.237,413.9,,2
130.339,416.4,,2
131.447,420.3,,2
132.560,423.1,21.00,2
134.097,428.5,,2
135.224,431.7,,2
136.352,434.3,,2
137.486,437.8,,2
138.626,440.7,22.76,2
140.190,445.3,,2
141.343,448.7,,2
142.500,451.6,,2
143.665,455.8,,2
144.832,459.2,24.57,2
146.422,463.6,,2
147.604,467.0,,2
148.791,470.4,,2
149.983,473.5,,2
151.179,476.7,26.42,2
152.800,481.9,,2
154.011,485.5,,2
155.229,489.1,,2
156.449,492.8,,2
157.675,495.5,28.31,2
159.328,501.7,,2
160.568,504.7,,2
161.814,508.1,,2
163.066,511.9,,2
164.323,515.7,30.24,2
166.004,519.9,,2
167.276,524.0,,2
168.550,527.4,,2
169.834,532.1,,2
171.122,535.6,32.22,2
172.836,540.4,,2
174.140,544.9,,2
175.449,548.5,,2
176.766,552.7,,2
178.088,556.3,34.25,2
179.836,562.4,,2
181.170,565.8,,2
182.513,569.9,,2
183.862,573.5,,2
185.217,577.4,36.32,2
186.996,582.4,,2
188.367,586.6,,2
189.743,590.8,,2
191.124,594.0,,2
192.513,599.1,38.45,2
194.324,603.8,,2
195.729,608.7,,2
197.138,611.8,,2
198.551,615.8,,2
199.975,620.8,40.62,2
201.822,625.7,,2
203.260,630.5,,2
204.704,633.8,,2
206.156,638.8,,2
207.617,643.8,42.84,2
209.499,648.9,,2
210.973,653.2,,2
212.452,656.4,,2
213.940,661.5,,2
215.431,665.6,45.12,2
217.351,671.6,,2
218.861,675.8,,2
220.379,680.6,,2
221.904,685.2,,2
223.436,689.7,47.45,2
225.389,694.7,,2
226.936,698.9,,2
228.490,704.2,,2
230.052,708.4,,2
231.620,713.0,49.83,2
233.613,718.2,,2
235.199,723.7,,2
236.791,728.4,,2
238.391,732.5,,2
239.997,737.2,52.27,2
242.031,743.5,,2
243.655,747.9,,2
245.286,752.4,,2
246.925,757.7,,2
248.572,762.4,54.76,2
250.641,768.3,,2
252.305,774.0,,2
253.974,778.5,,2
255.653,783.1,,2
257.340,788.0,57.31,2
259.452,793.9,,2
261.157,799.7,,2
262.867,804.0,,2
264.586,809.0,,2
266.313,813.7,59.93,2
268.467,820.2,,2
270.213,825.9,,2
271.967,830.9,,2
273.729,836.3,,2
275.498,841.2,62.60,2
277.691,846.8,,2
279.480,852.7,,2
281.277,858.3,,2
283.082,863.1,,2
284.895,868.3,65.33,2
287.132,874.9,,2
288.963,879.9,,2
290.801,884.4,,2
292.647,889.3,,2
294.501,895.0,68.13,2
296.781,900.8,,2
298.654,906.8,,2
300.537,912.3,,2
302.425,917.9,,2
304.325,923.8,70.99,2
306.648,929.9,,2
308.570,936.7,,2
310.497,940.9,,2
312.432,947.1,,2
314.377,952.2,73.91,2
316.747,959.0,,2
318.712,965.3,,2
320.686,970.5,,2
322.669,976.8,,2
324.659,982.2,76.91,2
327.078,989.1,,2
329.091,995.3,,2
331.113,1001.1,,2
333.145,1007.5,,2
335.183,1013.2,79.97,2
337.651,1020.6,,2
339.713,1026.4,,2
341.783,1032.0,,2
343.863,1037.8,,2
345.951,1043.9,83.10,2
348.468,1051.5,,2
350.579,1057.7,,2
352.699,1064.2,,2
354.830,1070.7,,2
356.970,1076.3,86.31,2
359.538,1083.7,,2
361.700,1090.3,,2
363.872,1097.1,,2
366.055,1103.4,,2
368.246,1109.2,89.59,2
