# t valid dirty free erasing in_use moved_to_ltram moved_to_dram erases_done
5 1156 3 64377 idle 1159 1159 3 0
10 1284 3 64249 idle 1287 1255 3 0
15 1380 3 64153 idle 1383 1383 3 0
20 1476 3 64057 idle 1479 1479 3 0
25 1572 3 63961 idle 1575 1575 3 0
30 1700 3 63833 idle 1703 1671 3 0
35 1796 3 63737 idle 1799 1799 3 0
40 1892 3 63641 idle 1895 1895 3 0
45 2020 3 63513 idle 1991 1991 3 0
50 2116 3 63417 idle 2119 2119 3 0
55 2212 3 63321 idle 2215 2215 3 0
60 2308 3 63225 idle 2311 2311 3 0
65 2436 3 63097 idle 2439 2407 3 0
70 2532 3 63001 idle 2535 2503 3 0
75 2628 3 62905 idle 2631 2631 3 0
80 2724 3 62809 idle 2727 2727 3 0
85 2820 3 62713 idle 2823 2823 3 0
90 2948 3 62585 idle 2951 2919 3 0
95 3044 3 62489 idle 3047 3047 3 0
100 3140 3 62393 idle 3143 3143 3 0
105 3236 3 62297 idle 3239 3239 3 0
110 3364 3 62169 idle 3367 3335 3 0
115 3460 3 62073 idle 3463 3463 3 0
120 3556 3 61977 idle 3559 3559 3 0
125 3652 3 61881 idle 3655 3655 3 0
130 3780 3 61753 idle 3783 3783 3 0
135 3876 3 61657 idle 3879 3879 3 0
140 3972 3 61561 idle 3975 3975 3 0
145 4100 3 61433 idle 4103 4071 3 0
150 4196 3 61337 idle 4199 4167 3 0
155 4292 3 61241 idle 4295 4295 3 0
160 4388 3 61145 idle 4391 4391 3 0
165 4484 3 61049 idle 4487 4487 3 0
170 4612 3 60921 idle 4615 4583 3 0
175 4708 3 60825 idle 4711 4679 3 0
180 4804 3 60729 idle 4807 4807 3 0
185 4900 3 60633 idle 4903 4903 3 0
190 4996 3 60537 idle 4999 4999 3 0
195 5124 3 60409 idle 5095 5095 3 0
200 5220 3 60313 idle 5223 5191 3 0
205 5316 3 60217 idle 5319 5287 3 0
210 5412 3 60121 idle 5415 5415 3 0
215 5508 3 60025 idle 5511 5511 3 0
220 5636 3 59897 idle 5607 5607 3 0
225 5732 3 59801 idle 5735 5703 3 0
230 5828 3 59705 idle 5831 5799 3 0
235 5924 3 59609 idle 5927 5927 3 0
240 6020 3 59513 idle 6023 6023 3 0
245 6116 3 59417 idle 6119 6119 3 0
250 6244 3 59289 idle 6247 6215 3 0
255 6340 3 59193 idle 6343 6311 3 0
260 6436 3 59097 idle 6439 6439 3 0
265 6532 3 59001 idle 6535 6535 3 0
270 8 6591 58937 idle 6599 6599 3 0
275 8 6591 58937 idle 6599 6599 3 0
280 8 6591 58937 idle 6599 6599 3 0
# station4 gone at t=280
