workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd
pagerank (kron22),5,138970,98.04,0.68,3,smaps_referenced,2.69,0.00
pagerank (kron22),10,138970,96.13,0.59,3,smaps_referenced,2.69,0.13
pagerank (kron22),20,138970,94.23,0.44,3,smaps_referenced,0.00,0.19
pagerank (kron22),30,138970,96.13,0.43,3,smaps_referenced,2.69,0.19
pagerank (kron22),45,138970,94.23,0.33,3,smaps_referenced,0.00,0.10
pagerank (kron22),60,138970,97.31,0.33,3,smaps_referenced,2.35,0.10
pagerank (kron22),90,138970,97.20,0.14,3,smaps_referenced,2.34,0.05
pagerank (kron22),120,138970,99.05,0.14,3,smaps_referenced,1.26,0.05
pagerank (kron22),180,138970,97.18,0.21,3,smaps_referenced,2.34,0.14
pagerank (kron22),240,138970,96.13,0.14,3,smaps_referenced,2.69,0.05
pagerank (kron22),300,138970,97.35,0.14,3,smaps_referenced,2.36,0.05
pagerank (kron22),360,138970,99.11,0.11,3,smaps_referenced,1.18,0.04
pagerank (kron22),480,138970,95.26,0.11,3,smaps_referenced,1.45,0.04
pagerank (kron22),600,138970,99.07,0.11,3,smaps_referenced,1.23,0.04
