workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
llama.cpp (tinyllama 1.1B),5,313577,99.10,41.13,3,smaps_referenced,0.04,0.20,0.00
llama.cpp (tinyllama 1.1B),10,313577,97.46,41.08,3,smaps_referenced,1.47,0.16,0.00
llama.cpp (tinyllama 1.1B),20,313577,94.78,41.06,3,smaps_referenced,0.02,0.15,0.00
llama.cpp (tinyllama 1.1B),30,313577,94.27,40.95,3,smaps_referenced,0.02,0.19,0.00
llama.cpp (tinyllama 1.1B),45,313577,94.27,40.94,3,smaps_referenced,0.02,0.20,0.00
llama.cpp (tinyllama 1.1B),60,313577,94.27,40.92,3,smaps_referenced,0.02,0.19,0.00
llama.cpp (tinyllama 1.1B),90,313577,94.26,40.89,3,smaps_referenced,0.02,0.20,0.00
llama.cpp (tinyllama 1.1B),120,313577,94.26,40.81,3,smaps_referenced,0.02,0.26,0.00
llama.cpp (tinyllama 1.1B),180,313577,94.26,40.76,3,smaps_referenced,0.02,0.23,0.00
llama.cpp (tinyllama 1.1B),240,313577,94.25,40.67,3,smaps_referenced,0.02,0.18,0.00
llama.cpp (tinyllama 1.1B),300,313577,94.24,40.53,3,smaps_referenced,0.02,0.20,0.00
llama.cpp (tinyllama 1.1B),360,313577,94.24,40.50,3,smaps_referenced,0.02,0.20,0.00
llama.cpp (tinyllama 1.1B),480,313577,94.22,40.38,3,smaps_referenced,0.03,0.14,0.00
llama.cpp (tinyllama 1.1B),600,313577,94.21,40.08,3,smaps_referenced,0.02,0.35,0.00
