workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
"memcached (95/5 zipfian, 10000 ops/s)",5,427734,93.14,0.08,3,smaps_referenced,0.44,0.05,0.00
"memcached (95/5 zipfian, 10000 ops/s)",10,427734,87.95,0.05,3,smaps_referenced,0.81,0.05,0.00
"memcached (95/5 zipfian, 10000 ops/s)",20,427734,79.37,0.05,3,smaps_referenced,1.38,0.05,0.00
"memcached (95/5 zipfian, 10000 ops/s)",30,427734,72.24,0.02,3,smaps_referenced,1.76,0.01,0.00
"memcached (95/5 zipfian, 10000 ops/s)",45,427734,63.33,0.01,3,smaps_referenced,2.01,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",60,427734,55.99,0.01,3,smaps_referenced,2.15,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",90,427734,44.50,0.01,3,smaps_referenced,2.24,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",120,427734,24.49,0.01,3,smaps_referenced,16.88,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",180,427734,7.70,0.01,3,smaps_referenced,10.21,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",240,427734,5.24,0.01,3,smaps_referenced,6.92,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",300,427734,1.32,0.01,3,smaps_referenced,1.48,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",360,427734,0.24,0.01,3,smaps_referenced,0.00,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",480,427734,0.22,0.01,3,smaps_referenced,0.00,0.00,0.00
"memcached (95/5 zipfian, 10000 ops/s)",600,427734,0.21,0.01,3,smaps_referenced,0.00,0.00,0.00
