workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd
llama.cpp (tinyllama 1.1B),5,314024,99.09,41.13,3,smaps_referenced,0.09,0.20
llama.cpp (tinyllama 1.1B),10,314024,96.42,41.12,3,smaps_referenced,1.50,0.21
llama.cpp (tinyllama 1.1B),20,314024,94.75,41.07,3,smaps_referenced,0.06,0.16
llama.cpp (tinyllama 1.1B),30,314024,94.23,40.99,3,smaps_referenced,0.06,0.20
llama.cpp (tinyllama 1.1B),45,314024,94.22,40.97,3,smaps_referenced,0.06,0.19
llama.cpp (tinyllama 1.1B),60,314024,94.20,40.96,3,smaps_referenced,0.05,0.20
llama.cpp (tinyllama 1.1B),90,314024,94.18,40.95,3,smaps_referenced,0.05,0.19
llama.cpp (tinyllama 1.1B),120,314024,94.17,40.94,3,smaps_referenced,0.05,0.19
llama.cpp (tinyllama 1.1B),180,314024,94.12,40.92,3,smaps_referenced,0.05,0.18
llama.cpp (tinyllama 1.1B),240,314024,94.09,40.87,3,smaps_referenced,0.05,0.18
llama.cpp (tinyllama 1.1B),300,314024,93.96,40.74,3,smaps_referenced,0.09,0.18
llama.cpp (tinyllama 1.1B),360,314024,93.93,40.73,3,smaps_referenced,0.09,0.18
llama.cpp (tinyllama 1.1B),480,314024,93.82,40.69,3,smaps_referenced,0.08,0.15
llama.cpp (tinyllama 1.1B),600,314024,93.55,40.57,3,smaps_referenced,0.19,0.25
