workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
"redis (95/5 zipfian, 10000 ops/s)",5,455424,94.37,0.24,3,smaps_referenced,0.25,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",10,455424,90.05,0.15,3,smaps_referenced,0.46,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",20,455424,82.86,0.15,3,smaps_referenced,0.75,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",30,455424,76.77,0.14,3,smaps_referenced,0.95,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",45,455424,69.09,0.14,3,smaps_referenced,1.10,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",60,455424,62.58,0.14,3,smaps_referenced,1.18,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",90,455424,52.09,0.14,3,smaps_referenced,1.20,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",120,455424,43.91,0.14,3,smaps_referenced,1.14,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",180,455424,32.10,0.13,3,smaps_referenced,0.94,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",240,455424,24.16,0.13,3,smaps_referenced,0.72,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",300,455424,18.66,0.13,3,smaps_referenced,0.54,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",360,455424,14.78,0.13,3,smaps_referenced,0.42,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",480,455424,9.94,0.13,3,smaps_referenced,0.26,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",600,455424,7.33,0.13,3,smaps_referenced,0.15,0.00,0.00
