workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
"redis (95/5 zipfian, 10000 ops/s)",60,455438,62.21,0.13,2,smaps_referenced,1.99,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",120,455438,43.35,0.12,2,smaps_referenced,2.17,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",180,455438,31.56,0.12,2,smaps_referenced,1.89,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",300,455438,18.24,0.12,2,smaps_referenced,1.22,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",600,455438,7.19,0.12,2,smaps_referenced,0.36,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",900,455438,4.77,0.12,2,smaps_referenced,0.09,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",1200,455438,4.17,0.12,2,smaps_referenced,0.03,0.01,0.00
"redis (95/5 zipfian, 10000 ops/s)",1800,455438,3.95,0.12,2,smaps_referenced,0.00,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",2400,455438,3.93,0.12,2,smaps_referenced,0.00,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",3000,455438,3.93,0.12,2,smaps_referenced,0.00,0.00,0.00
"redis (95/5 zipfian, 10000 ops/s)",3600,455438,3.93,0.12,2,smaps_referenced,0.00,0.00,0.00
