rep,n,mode,bytes,pages,mean_s,sd_s,ns_per_line,resident,clean_before,erases_during,dirty_before
1,90,comp,32400,7,0.000031,0.000004,122.5,0,0,0,0
1,128,comp,65536,16,0.000061,0.000005,119.1,0,0,0,0
1,181,comp,131044,31,0.000118,0.000005,115.3,0,0,0,0
1,256,comp,262144,64,0.000236,0.000007,115.2,0,0,0,0
1,362,comp,524176,127,0.000469,0.000009,114.5,0,0,0,0
1,512,comp,1048576,256,0.000932,0.000005,113.8,0,0,0,0
1,724,comp,2096704,511,0.001856,0.000011,113.3,0,0,0,0
1,1024,comp,4194304,1024,0.003701,0.000011,112.9,0,0,0,0
1,1448,comp,8386816,2047,0.007390,0.000017,112.8,0,0,0,0
1,2048,comp,16777216,4096,0.014770,0.000016,112.7,0,0,0,0
1,2896,comp,33547264,8190,0.029500,0.000029,112.6,0,0,0,0
1,4096,comp,67108864,16384,0.058991,0.000041,112.5,0,0,0,0
1,5793,comp,134235396,32772,0.117968,0.000031,112.5,0,0,0,0
1,7094,comp,201299344,49145,0.176804,0.000055,112.4,0,0,0,0
1,8192,comp,268435456,65536,0.235760,0.000054,112.4,0,0,0,0
1,11585,comp,536848900,131066,0.471356,0.000086,112.4,0,0,0,0
1,16384,comp,1073741824,262144,0.942806,0.000154,112.4,0,0,0,0
