pass,seconds,residency_pct
1,0.1,0.00
2,0.1,0.00
3,0.2,0.00
4,0.2,0.00
5,0.3,0.00
6,0.4,0.15
7,0.5,1.32
8,0.5,2.00
9,0.6,2.73
10,0.7,3.47
11,0.7,4.20
12,0.8,4.98
13,0.8,5.71
14,0.9,6.45
15,1.0,7.23
16,1.0,8.01
17,1.1,8.79
18,1.2,9.57
19,1.2,10.35
20,1.3,11.18
21,1.4,11.96
22,1.4,12.79
23,1.5,13.62
24,1.6,14.45
25,1.6,15.28
26,1.7,16.16
27,1.8,16.99
28,1.8,17.87
29,1.9,18.75
30,2.0,19.63
31,2.1,20.56
32,2.1,21.48
33,2.2,22.41
34,2.3,23.34
35,2.4,24.27
36,2.4,25.24
37,2.5,26.17
38,2.6,27.15
39,2.7,28.12
40,2.8,29.10
41,2.8,30.13
42,2.9,31.15
43,3.0,32.13
44,3.1,33.20
45,3.2,34.23
46,3.3,35.25
47,3.3,36.33
48,3.4,37.40
49,3.5,38.48
50,3.6,39.55
51,3.7,40.67
52,3.8,41.80
53,3.9,42.92
54,4.0,44.04
55,4.1,45.17
56,4.2,46.34
57,4.3,47.51
58,4.4,48.68
59,4.4,49.85
60,4.5,51.03
61,4.6,52.25
62,4.7,53.52
63,4.9,54.74
64,5.0,56.01
65,5.1,57.28
66,5.2,58.54
67,5.3,59.81
68,5.4,61.13
69,5.5,62.45
70,5.6,63.77
71,5.7,65.14
72,5.8,66.50
73,5.9,67.87
74,6.0,69.24
75,6.1,70.65
76,6.3,72.02
77,6.4,73.49
78,6.5,74.90
79,6.6,76.37
80,6.7,77.83
81,6.9,79.30
82,7.0,80.81
83,7.1,82.32
84,7.2,83.84
85,7.4,85.40
86,7.5,86.96
87,7.6,88.53
88,7.7,90.14
89,7.9,91.75
90,8.0,93.41
91,8.1,95.02
