elapsed_s,ns_per_line,resid_pct,phase
0.264,219.7,0.00,1
1.425,219.5,,1
2.194,219.5,,1
2.963,219.5,,1
3.732,219.5,,1
4.501,219.5,0.00,1
5.662,219.6,,1
6.432,219.6,,1
7.201,219.6,,1
7.969,219.6,,1
8.738,219.5,0.00,1
9.900,219.5,,1
10.669,219.6,,1
11.438,219.5,,1
12.206,219.5,,1
12.976,219.6,0.00,1
14.137,219.6,,1
14.906,219.6,,1
15.675,219.6,,1
16.444,219.6,,1
17.213,219.6,0.00,1
18.375,219.6,,1
19.143,219.5,,1
19.912,219.5,,1
20.681,219.5,,1
21.450,219.6,0.00,1
22.612,219.6,,1
23.381,219.6,,1
24.151,219.5,,1
24.920,219.6,,1
25.690,219.6,0.00,1
26.852,219.5,,1
27.621,219.5,,1
28.389,219.6,,1
29.158,219.6,,1
29.927,219.5,0.00,1
31.089,219.6,,1
31.858,219.5,,1
32.627,219.6,,1
33.396,219.5,,1
34.165,219.5,0.00,1
35.327,219.6,,1
36.096,219.5,,1
36.865,219.7,,1
37.633,219.4,,1
38.402,219.5,0.00,1
39.564,219.5,,1
40.332,219.5,,1
41.101,219.6,,1
41.870,219.6,,1
42.639,219.5,0.00,1
43.801,219.5,,1
44.573,219.9,,1
45.342,219.5,,1
46.111,219.5,,1
46.881,219.6,0.00,1
48.042,219.5,,1
48.811,219.5,,1
49.580,219.6,,1
50.350,219.5,,1
51.119,219.6,0.00,1
52.280,219.6,,1
53.050,219.7,,1
53.819,219.5,,1
54.588,219.5,,1
55.357,219.6,0.00,1
56.519,219.6,,1
57.288,219.6,,1
58.057,219.6,,1
58.826,219.6,,1
59.595,219.5,0.00,1
60.832,219.9,,2
61.644,222.4,,2
62.425,224.3,,2
63.207,226.8,,2
63.996,229.4,1.02,2
65.182,232.8,,2
65.979,235.3,,2
66.779,237.3,,2
67.582,239.0,,2
68.387,241.6,2.30,2
69.595,245.0,,2
70.410,246.9,,2
71.231,250.3,,2
72.054,252.2,,2
72.882,255.0,3.61,2
74.108,257.8,,2
74.945,260.3,,2
75.784,263.1,,2
76.628,265.1,,2
77.476,267.5,4.94,2
78.726,271.4,,2
79.583,273.9,,2
80.444,275.9,,2
81.310,278.6,,2
82.179,281.4,6.31,2
83.450,285.2,,2
84.330,287.8,,2
85.211,290.2,,2
86.099,292.9,,2
86.990,294.6,7.71,2
88.281,299.2,,2
89.183,302.1,,2
90.089,304.2,,2
90.997,307.0,,2
91.911,309.9,9.14,2
93.226,313.6,,2
94.149,316.3,,2
95.078,318.5,,2
96.011,321.7,,2
96.947,323.6,10.61,2
98.283,327.8,,2
99.231,331.2,,2
100.183,333.4,,2
101.138,335.5,,2
102.095,338.4,12.11,2
103.456,343.2,,2
104.427,346.2,,2
105.402,348.2,,2
106.382,351.4,,2
107.365,354.5,13.64,2
108.749,358.4,,2
109.745,361.4,,2
110.744,363.6,,2
111.749,367.5,,2
112.763,373.7,15.19,2
114.171,373.4,,2
115.188,376.5,,2
116.208,378.6,,2
117.236,381.9,,2
118.269,384.9,16.75,2
119.724,402.7,,2
120.769,392.9,,2
121.854,418.5,,2
122.913,397.9,,2
123.971,401.0,18.30,2
125.381,373.6,,2
126.421,384.7,,2
127.439,373.8,,2
128.440,365.5,,2
129.494,388.5,18.63,2
130.911,377.2,,2
131.957,395.5,,2
132.970,374.2,,2
133.970,363.2,,2
135.026,394.8,18.78,2
136.436,374.1,,2
137.435,364.0,,2
138.453,375.3,,2
139.458,364.5,,2
140.496,377.8,18.91,2
141.955,404.5,,2
142.971,365.4,,2
144.005,387.7,,2
145.037,380.4,,2
146.047,371.7,19.07,2
147.449,366.2,,2
148.487,388.7,,2
149.522,384.2,,2
150.548,378.6,,2
151.614,396.2,19.22,2
153.034,380.8,,2
154.081,387.6,,2
155.121,388.5,,2
156.164,391.6,,2
157.181,368.0,19.38,2
158.603,383.5,,2
159.646,386.2,,2
160.652,368.7,,2
161.676,380.0,,2
162.735,391.3,19.53,2
164.180,388.0,,2
165.205,380.7,,2
166.264,392.1,,2
167.280,370.1,,2
168.316,381.4,19.65,2
169.719,370.5,,2
170.727,370.9,,2
171.751,381.5,,2
172.793,382.5,,2
173.819,382.7,19.80,2
175.241,382.8,,2
176.304,394.1,,2
177.357,394.4,,2
178.396,389.4,,2
179.456,395.5,19.95,2
180.874,373.0,,2
181.905,384.3,,2
182.954,396.2,,2
184.004,385.2,,2
185.064,396.6,20.10,2
186.519,399.6,,2
187.570,398.0,,2
188.637,403.2,,2
189.710,411.1,,2
190.787,409.2,20.27,2
192.253,404.9,,2
193.360,433.6,,2
194.428,399.5,,2
195.470,387.8,,2
196.529,396.9,20.43,2
197.991,405.3,,2
199.070,410.9,,2
200.135,399.9,,2
201.203,400.1,,2
202.229,377.3,20.59,2
203.694,404.8,,2
204.750,401.0,,2
205.783,386.6,,2
206.847,400.6,,2
207.930,418.8,20.74,2
209.395,404.2,,2
210.436,390.8,,2
211.465,379.1,,2
212.499,380.8,,2
213.540,390.7,20.89,2
215.018,416.8,,2
216.077,402.2,,2
217.108,380.3,,2
218.170,402.0,,2
219.209,389.4,21.02,2
220.651,384.5,,2
221.680,382.6,,2
222.740,403.1,,2
223.774,381.6,,2
224.801,382.2,21.16,2
226.224,382.3,,2
227.269,389.8,,2
228.296,382.7,,2
229.323,382.9,,2
230.368,395.2,21.31,2
231.791,383.2,,2
232.821,383.5,,2
233.883,404.2,,2
234.941,401.1,,2
235.989,395.8,21.45,2
237.432,395.4,,2
238.506,406.8,,2
239.613,432.6,,2
240.658,393.4,,2
241.725,407.2,21.60,2
243.186,396.6,,2
244.250,396.9,,2
245.308,401.3,,2
246.402,420.2,,2
247.492,422.0,21.76,2
248.943,400.2,,2
250.039,417.0,,2
251.091,397.4,,2
252.148,399.0,,2
253.236,410.3,21.90,2
254.718,409.3,,2
255.755,388.1,,2
256.834,414.7,,2
257.910,413.1,,2
259.009,421.7,22.05,2
260.453,389.0,,2
261.492,389.3,,2
262.543,397.1,,2
263.653,434.7,,2
264.723,401.6,22.20,2
266.176,393.5,,2
267.235,402.1,,2
268.428,467.1,,2
269.499,409.3,,2
270.558,402.7,22.34,2
272.011,391.2,,2
273.099,413.6,,2
274.157,401.9,,2
275.225,399.8,,2
276.303,414.0,22.49,2
277.770,403.4,,2
278.849,414.8,,2
279.939,420.0,,2
281.039,428.6,,2
282.123,417.7,22.65,2
283.595,414.2,,2
284.642,393.8,,2
285.708,406.8,,2
286.821,426.5,,2
287.887,406.9,22.80,2
289.360,413.8,,2
290.408,394.9,,2
291.478,409.1,,2
292.545,407.0,,2
293.631,418.2,22.94,2
295.076,395.7,,2
296.125,395.9,,2
297.201,413.2,,2
298.301,419.2,,2
299.390,418.7,23.08,2
300.854,408.1,,2
301.912,397.2,,2
302.969,400.6,,2
304.070,423.5,,2
305.208,445.6,23.23,2
306.707,429.9,,2
307.759,398.2,,2
308.820,398.4,,2
309.900,415.2,,2
311.035,452.2,23.38,2
312.515,419.8,,2
313.616,421.8,,2
314.704,422.1,,2
315.777,410.4,,2
316.834,402.4,23.53,2
318.293,400.2,,2
319.370,411.8,,2
320.481,433.5,,2
321.570,422.7,,2
322.687,434.7,23.67,2
324.138,401.6,,2
325.233,424.0,,2
326.324,423.3,,2
327.386,402.0,,2
328.480,424.6,23.82,2
329.952,402.7,,2
331.031,413.8,,2
332.110,413.3,,2
333.218,423.9,,2
334.295,403.3,23.96,2
335.768,414.7,,2
336.898,447.6,,2
337.992,414.4,,2
339.107,437.5,,2
340.170,404.4,24.10,2
341.676,433.0,,2
342.794,438.6,,2
343.885,417.0,,2
344.960,405.3,,2
346.051,422.8,24.27,2
347.564,440.0,,2
348.655,422.2,,2
349.749,418.0,,2
350.830,417.0,,2
351.897,406.8,24.41,2
353.400,431.6,,2
354.500,419.0,,2
355.582,414.3,,2
356.652,407.5,,2
357.740,418.8,24.55,2
359.266,444.8,,2
360.372,432.1,,2
361.543,466.3,,2
362.674,443.6,,2
363.760,420.0,24.70,2
365.253,426.8,,2
366.393,444.2,,2
367.502,433.6,,2
368.605,422.2,,2
369.719,432.4,24.86,2
371.186,410.7,,2
372.274,422.0,,2
373.350,413.9,,2
374.475,440.3,,2
375.568,423.9,25.00,2
377.052,422.9,,2
378.169,434.1,,2
379.248,412.1,,2
380.373,444.2,,2
381.453,412.7,25.14,2
382.934,412.7,,2
384.047,433.6,,2
385.124,413.2,,2
386.218,424.4,,2
387.325,428.4,25.28,2
388.814,424.1,,2
389.917,425.0,,2
391.014,426.8,,2
392.110,425.4,,2
393.230,437.0,25.42,2
394.706,414.7,,2
395.874,469.3,,2
396.985,428.4,,2
398.080,415.4,,2
399.176,415.6,25.58,2
400.708,452.9,,2
401.847,453.7,,2
402.948,428.3,,2
404.072,438.0,,2
405.206,440.8,25.73,2
406.731,440.4,,2
407.843,427.8,,2
408.967,444.3,,2
410.076,435.1,,2
411.194,440.1,25.88,2
412.741,452.1,,2
413.843,429.7,,2
414.954,429.1,,2
416.052,418.9,,2
417.157,431.1,26.02,2
418.652,419.3,,2
419.790,441.8,,2
420.893,430.1,,2
422.016,440.8,,2
423.165,452.2,26.19,2
424.665,431.8,,2
425.769,426.0,,2
426.908,443.5,,2
428.020,435.9,,2
429.109,421.3,26.32,2
430.636,446.4,,2
431.762,444.8,,2
432.871,433.9,,2
434.030,456.6,,2
435.183,459.2,26.47,2
436.721,456.9,,2
437.812,424.2,,2
438.928,433.2,,2
440.056,446.1,,2
441.211,456.7,26.62,2
442.719,437.0,,2
443.891,467.9,,2
445.013,435.6,,2
446.107,424.9,,2
447.265,456.9,26.76,2
448.805,457.9,,2
449.915,435.8,,2
451.056,454.2,,2
452.216,466.5,,2
453.312,426.0,26.94,2
454.824,438.9,,2
455.973,449.5,,2
457.125,461.1,,2
458.256,449.5,,2
459.409,461.4,27.09,2
460.938,450.6,,2
462.054,438.8,,2
463.207,451.5,,2
464.345,452.1,,2
465.481,451.4,27.24,2
467.008,444.9,,2
468.196,484.0,,2
469.307,435.2,,2
470.426,440.6,,2
471.540,433.7,27.37,2
473.072,451.4,,2
474.191,440.3,,2
475.353,463.8,,2
476.475,441.6,,2
477.618,457.5,27.53,2
479.208,484.5,,2
480.333,443.8,,2
481.502,465.9,,2
482.638,450.5,,2
483.812,475.7,27.69,2
485.356,453.0,,2
486.485,446.9,,2
487.646,468.4,,2
488.769,433.7,,2
489.924,454.2,27.83,2
491.431,436.5,,2
492.557,444.6,,2
493.666,433.7,,2
494.825,465.8,,2
495.950,445.7,27.99,2
497.530,480.7,,2
498.690,458.5,,2
499.832,445.9,,2
500.965,449.5,,2
502.098,449.2,28.13,2
503.669,476.4,,2
504.797,446.4,,2
505.937,455.1,,2
507.057,440.5,,2
508.192,451.0,28.27,2
509.738,451.9,,2
510.882,450.7,,2
511.995,437.0,,2
513.146,459.6,,2
514.284,448.8,28.43,2
515.860,476.3,,2
517.017,465.4,,2
518.254,515.7,,2
519.438,478.5,,2
520.569,449.9,28.58,2
522.114,450.3,,2
523.287,472.6,,2
524.475,484.8,,2
525.636,461.9,,2
526.768,440.0,28.72,2
528.292,440.0,,2
529.471,468.6,,2
530.624,461.7,,2
531.777,462.1,,2
532.897,440.9,28.88,2
534.493,492.2,,2
535.633,454.1,,2
536.796,457.7,,2
537.950,464.1,,2
539.127,477.0,29.03,2
540.663,453.7,,2
541.825,461.0,,2
542.976,460.5,,2
544.134,464.7,,2
545.303,466.2,29.16,2
546.824,446.2,,2
547.979,456.6,,2
549.145,470.3,,2
550.361,501.7,,2
551.520,466.8,29.33,2
553.092,470.5,,2
554.269,472.1,,2
555.440,473.5,,2
556.620,479.1,,2
557.795,467.3,29.48,2
559.416,499.4,,2
560.578,467.6,,2
561.724,457.4,,2
562.870,457.6,,2
564.062,480.2,29.64,2
565.640,476.6,,2
566.786,459.4,,2
567.951,469.6,,2
569.116,469.1,,2
570.298,480.6,29.78,2
571.829,452.3,,2
573.060,502.6,,2
574.195,448.7,,2
575.367,470.3,,2
576.540,470.5,29.94,2
578.147,487.1,,2
579.299,462.4,,2
580.481,471.2,,2
581.706,507.3,,2
582.910,494.2,30.09,2
584.462,464.4,,2
585.636,463.9,,2
586.781,451.0,,2
587.950,471.8,,2
589.092,451.4,30.24,2
590.682,483.0,,2
591.868,483.7,,2
593.057,485.2,,2
594.218,466.9,,2
595.406,484.2,30.38,2
596.956,463.2,,2
598.148,478.4,,2
599.364,495.4,,2
600.568,485.2,,2
601.730,464.2,30.55,2
603.287,469.6,,2
604.462,476.9,,2
605.654,486.9,,2
606.884,511.1,,2
608.095,499.3,30.70,2
609.704,495.7,,2
610.868,466.0,,2
612.073,487.4,,2
613.249,476.8,,2
614.436,480.2,30.86,2
616.051,502.0,,2
617.231,479.0,,2
618.409,478.2,,2
619.600,486.1,,2
620.772,474.9,31.00,2
622.312,457.8,,2
623.489,457.8,,2
624.660,468.3,,2
625.835,476.2,,2
626.981,458.5,31.14,2
628.608,513.6,,2
629.768,466.5,,2
630.925,465.0,,2
632.096,473.0,,2
633.292,491.1,31.28,2
634.851,470.3,,2
636.034,470.3,,2
637.216,480.8,,2
638.426,498.1,,2
639.604,469.2,31.43,2
641.191,488.4,,2
642.362,473.3,,2
643.560,490.6,,2
644.731,472.9,,2
645.945,494.5,31.57,2
647.546,495.5,,2
648.733,478.4,,2
649.899,470.2,,2
651.107,489.7,,2
652.304,489.4,31.73,2
653.892,488.0,,2
655.095,484.1,,2
656.250,463.8,,2
657.451,484.5,,2
658.685,506.1,31.88,2
660.272,487.2,,2
661.447,475.7,,2
662.620,475.9,,2
663.811,486.2,,2
665.043,512.4,32.02,2
666.595,465.3,,2
667.801,486.6,,2
668.989,477.0,,2
670.200,498.5,,2
671.432,505.4,32.17,2
673.030,493.0,,2
674.242,498.9,,2
675.448,495.0,,2
676.645,489.9,,2
677.846,489.1,32.32,2
679.428,478.1,,2
680.611,478.9,,2
681.886,533.1,,2
683.125,515.5,,2
684.323,490.7,32.48,2
685.916,482.7,,2
687.122,482.9,,2
688.364,513.2,,2
689.576,490.9,,2
690.775,491.2,32.63,2
692.370,493.1,,2
693.551,481.3,,2
694.790,517.0,,2
695.994,493.8,,2
697.194,493.1,32.77,2
698.771,481.7,,2
699.993,504.7,,2
701.197,493.9,,2
702.381,480.4,,2
703.584,494.1,32.91,2
705.212,512.5,,2
706.432,493.5,,2
707.654,499.5,,2
708.877,499.8,,2
710.098,495.3,33.07,2
711.737,513.5,,2
712.939,492.0,,2
714.146,496.0,,2
715.385,507.4,,2
716.586,493.3,33.22,2
718.187,497.0,,2
719.377,485.1,,2
720.552,475.7,,2
721.762,498.3,,2
722.967,496.1,33.36,2
724.613,522.5,,2
725.824,499.1,,2
727.026,492.7,,2
728.220,487.7,,2
729.438,503.4,33.50,2
731.088,521.2,,2
732.314,510.2,,2
733.574,529.9,,2
734.797,496.7,,2
736.041,520.3,33.66,2
737.632,489.3,,2
738.855,488.7,,2
740.050,478.5,,2
741.294,510.9,,2
742.520,506.9,33.80,2
744.097,480.9,,2
745.349,519.0,,2
746.568,495.5,,2
747.797,501.4,,2
749.018,501.3,33.96,2
750.627,500.3,,2
751.836,497.0,,2
753.064,509.3,,2
754.271,496.4,,2
755.478,496.2,34.10,2
757.056,481.3,,2
758.310,525.9,,2
759.512,493.2,,2
760.763,515.7,,2
762.043,534.8,34.25,2
763.665,504.5,,2
764.865,493.4,,2
766.118,516.0,,2
767.350,509.3,,2
768.554,495.5,34.40,2
770.213,532.9,,2
771.493,541.9,,2
772.705,495.7,,2
773.943,506.2,,2
775.159,495.2,34.56,2
776.802,518.7,,2
778.061,529.4,,2
779.313,519.0,,2
780.567,522.5,,2
781.804,515.6,34.70,2
783.415,502.3,,2
784.654,507.1,,2
785.924,529.3,,2
787.196,537.7,,2
788.405,499.1,34.86,2
790.031,498.0,,2
791.283,524.9,,2
792.477,487.8,,2
793.728,524.6,,2
794.937,497.5,35.01,2
796.567,514.1,,2
797.796,510.6,,2
799.034,509.8,,2
800.251,493.8,,2
801.491,511.1,35.16,2
803.159,538.9,,2
804.390,511.2,,2
805.636,519.6,,2
806.866,511.3,,2
808.120,521.3,35.30,2
809.816,556.1,,2
811.068,514.2,,2
812.318,524.0,,2
813.557,513.9,,2
814.803,510.6,35.46,2
816.416,502.4,,2
817.669,525.1,,2
818.913,514.0,,2
820.168,524.4,,2
821.423,526.6,35.61,2
823.035,503.8,,2
824.297,525.4,,2
825.555,526.6,,2
826.820,525.7,,2
828.101,538.3,35.77,2
829.729,513.9,,2
830.965,505.1,,2
832.254,537.3,,2
833.474,495.0,,2
834.763,539.2,35.92,2
836.393,512.3,,2
837.623,511.3,,2
838.895,538.7,,2
840.137,517.0,,2
841.377,518.0,36.07,2
843.037,533.0,,2
844.320,537.4,,2
845.566,519.0,,2
846.808,518.9,,2
848.017,497.4,36.22,2
849.663,521.8,,2
850.922,530.2,,2
852.192,527.4,,2
853.430,509.0,,2
854.657,509.0,36.37,2
856.359,554.8,,2
857.592,510.2,,2
858.876,539.3,,2
860.131,527.3,,2
861.358,510.3,36.51,2
862.990,516.6,,2
864.275,545.9,,2
865.511,510.7,,2
866.787,531.7,,2
868.071,535.4,36.66,2
869.729,528.4,,2
870.998,535.7,,2
872.302,558.0,,2
873.548,522.4,,2
874.816,534.9,36.82,2
876.479,533.7,,2
877.727,523.6,,2
878.967,513.9,,2
880.248,541.5,,2
881.500,524.7,36.96,2
883.145,524.3,,2
884.427,536.8,,2
885.701,535.0,,2
886.990,537.9,,2
888.259,537.2,37.12,2
889.906,515.8,,2
891.161,526.9,,2
892.421,526.2,,2
893.731,561.7,,2
894.980,515.9,37.27,2
896.619,516.3,,2
897.900,537.6,,2
899.137,516.7,,2
900.378,514.7,,2
901.663,538.7,37.40,2
903.343,539.3,,2
904.584,517.5,,2
905.853,532.5,,2
907.124,538.7,,2
908.377,518.0,37.56,2
910.021,524.5,,2
911.297,541.3,,2
912.541,519.6,,2
913.835,547.7,,2
915.131,552.8,37.71,2
916.813,543.8,,2
918.074,531.4,,2
919.368,551.5,,2
920.622,520.3,,2
921.869,518.4,37.86,2
923.521,515.1,,2
924.751,510.6,,2
926.053,553.2,,2
927.332,533.4,,2
928.605,531.7,38.00,2
930.256,526.8,,2
931.533,534.2,,2
932.783,523.3,,2
934.063,542.4,,2
935.319,522.5,38.14,2
936.963,524.1,,2
938.230,534.3,,2
939.496,533.8,,2
940.771,533.0,,2
942.028,523.6,38.28,2
