elapsed_s,ns_per_line,resid_pct,phase
0.065,199.1,,1
0.210,199.3,,1
0.356,199.6,,1
0.501,199.3,,1
0.647,199.1,,1
0.792,199.3,,1
0.937,199.1,,1
1.083,199.2,,1
1.228,199.3,,1
1.374,199.5,,1
1.519,199.2,,1
1.664,199.2,,1
1.810,199.3,,1
1.955,199.2,,1
2.101,199.4,,1
2.246,199.2,,1
2.392,199.4,,1
2.537,199.1,,1
2.683,199.2,,1
2.828,199.3,,1
2.973,199.1,,1
3.119,199.3,,1
3.264,199.2,,1
3.410,199.3,,1
3.555,199.1,,1
3.700,199.2,,1
3.846,199.3,,1
3.991,199.3,,1
4.136,199.2,,1
4.282,199.4,,1
4.427,199.5,,1
4.573,199.2,,1
4.718,199.4,,1
4.863,199.2,,1
5.009,199.4,,1
5.154,199.2,,1
5.300,199.4,,1
5.445,199.4,,1
5.590,199.3,,1
5.736,199.6,,1
5.881,199.4,,1
6.027,199.4,,1
6.172,199.2,,1
6.318,199.4,,1
6.463,199.2,,1
6.609,199.3,,1
6.754,199.1,,1
6.899,199.4,,1
7.045,199.3,,1
7.190,199.3,,1
7.335,199.5,,1
7.481,199.5,,1
7.626,199.3,,1
7.772,199.2,,1
7.917,199.2,,1
8.063,199.1,,1
8.208,199.2,,1
8.353,199.5,,1
8.499,199.4,,1
8.644,199.2,,1
8.790,199.2,,1
8.935,199.3,,1
9.080,199.1,,1
9.226,199.3,,1
9.371,199.4,,1
9.517,199.7,,1
9.662,199.2,,1
9.808,199.3,,1
9.953,199.2,,1
10.099,199.4,,1
10.244,199.1,,1
10.389,199.5,,1
10.535,199.3,,1
10.680,199.2,,1
10.826,199.3,,1
10.971,199.2,,1
11.117,199.3,,1
11.262,199.2,,1
11.407,199.3,,1
11.553,199.5,,1
11.698,199.4,,1
11.844,199.2,,1
11.989,199.2,,1
12.134,199.2,,1
12.280,199.1,,1
12.425,199.6,,1
12.571,199.2,,1
12.716,199.3,,1
12.862,199.3,,1
13.007,199.3,,1
13.153,199.2,,1
13.298,199.3,,1
13.443,199.4,,1
13.589,199.3,,1
13.734,199.6,,1
13.880,199.5,,1
14.025,199.3,,1
14.171,199.2,,1
14.316,199.5,,1
14.462,199.3,,1
14.607,199.3,,1
14.753,199.3,,1
14.898,199.2,,1
15.044,199.2,,1
15.189,199.3,,1
15.334,199.3,,1
15.480,199.1,,1
15.625,199.4,,1
15.771,199.2,,1
15.916,199.4,,1
16.062,199.2,,1
16.207,199.3,,1
16.353,199.4,,1
16.498,199.3,,1
16.643,199.2,,1
16.789,199.2,,1
16.934,199.3,,1
17.080,199.1,,1
17.225,199.3,,1
17.371,199.7,,1
17.516,199.2,,1
17.662,199.2,,1
17.807,199.7,,1
17.953,199.2,,1
18.098,199.5,,1
18.244,199.3,,1
18.389,199.2,,1
18.535,199.3,,1
18.680,199.3,,1
18.825,199.3,,1
