when	event	total	min	max	spread	mean	buckets	data	dirty	clean
2026-08-29T18:44:33+00:00	installed	1568016	19	34	15	23.9	3	0	57344	8192
2026-08-29T18:44:33+00:00	save	1568016	19	34	15	23.9	3	0	57344	8192
2026-08-29T18:45:24+00:00	corrected	1568016	19	34	15	23.9	1	0	57344	8192
2026-08-29T21:50:10+00:00	save	1568016	19	34	15	23.9	1	0	57344	8192
2026-08-29T21:50:10+00:00	restore	1568016	19	34	15	23.9	1	0	57344	8192
2026-08-29T21:50:13+00:00	save	1568016	19	34	15	23.9	1	0	57344	8192
2026-08-29T21:50:13+00:00	restore	1568016	19	34	15	23.9	1	0	57344	8192
2026-08-29T21:55:20+00:00	save	1578894	19	36	17	24.1	1	20	64939	577
2026-08-29T21:55:24+00:00	save	1578894	19	36	17	24.1	1	9	64848	679
2026-08-29T21:54:32+00:00	restore	1578894	19	36	17	24.1	1	0	64676	860
2026-08-29T21:54:34+00:00	save	1578894	19	36	17	24.1	1	0	64676	860
2026-08-29T21:54:34+00:00	restore	1578894	19	36	17	24.1	1	0	64676	860
2026-08-29T22:17:22+00:00	save	1579754	19	37	18	24.1	1	0	60067	5469
2026-08-29T22:17:23+00:00	restore	1579754	19	37	18	24.1	1	0	60059	5477
2026-08-29T22:17:33+00:00	save	1579754	19	37	18	24.1	1	0	59601	5936
2026-08-29T22:17:33+00:00	restore	1579754	19	37	18	24.1	1	0	59589	5947
2026-08-29T22:36:09+00:00	save	1609237	19	41	22	24.6	1	0	62522	3014
2026-08-29T22:36:31+00:00	save	1609237	19	41	22	24.6	0	0	65536	0
2026-08-29T22:36:35+00:00	save	1609237	19	41	22	24.6	0	0	65536	0
2026-08-29T22:35:39+00:00	restore	1609237	19	41	22	24.6	0	0	65536	0
