elapsed_s,ns_per_line,resid_pct,phase
0.267,219.7,0.00,1
1.431,219.6,,1
2.201,219.6,,1
2.971,219.6,,1
3.742,219.6,,1
4.512,219.6,0.00,1
5.676,219.6,,1
6.446,219.6,,1
7.216,219.6,,1
7.986,219.6,,1
8.756,219.6,0.00,1
9.921,219.6,,1
10.691,219.7,,1
11.461,219.6,,1
12.232,219.6,,1
13.002,219.7,0.00,1
14.166,219.6,,1
14.936,219.6,,1
15.707,219.6,,1
16.477,219.6,,1
17.247,219.7,0.00,1
18.411,219.6,,1
19.181,219.5,,1
19.951,219.6,,1
20.722,219.6,,1
21.492,219.7,0.00,1
22.656,219.5,,1
23.426,219.7,,1
24.197,219.6,,1
24.967,219.6,,1
25.738,219.6,0.00,1
26.902,219.7,,1
27.672,219.7,,1
28.442,219.6,,1
29.213,219.7,,1
29.983,219.7,0.00,1
31.147,219.6,,1
31.917,219.6,,1
32.687,219.6,,1
33.462,219.7,,1
34.232,219.6,0.00,1
35.396,219.7,,1
36.166,219.6,,1
36.936,219.6,,1
37.706,219.6,,1
38.477,219.6,0.00,1
39.640,219.6,,1
40.410,219.5,,1
41.181,219.8,,1
41.951,219.5,,1
42.721,219.6,0.00,1
43.885,219.7,,1
44.655,219.6,,1
45.426,219.6,,1
46.196,219.7,,1
46.966,219.6,0.00,1
48.130,219.6,,1
48.900,219.7,,1
49.671,219.6,,1
50.441,219.6,,1
51.211,219.6,0.00,1
52.375,219.7,,1
53.146,219.7,,1
53.916,219.6,,1
54.686,219.6,,1
55.456,219.7,0.00,1
56.620,219.6,,1
57.391,219.6,,1
58.161,219.6,,1
58.932,219.7,,1
59.702,219.6,0.00,1
60.943,219.9,,2
61.760,221.5,,2
62.542,224.3,,2
63.326,226.1,,2
64.114,228.8,1.02,2
65.303,232.3,,2
66.100,234.7,,2
66.901,237.2,,2
67.707,240.0,,2
68.515,241.4,2.30,2
69.726,244.5,,2
70.541,247.2,,2
71.364,250.7,,2
72.189,252.3,,2
73.019,254.3,3.61,2
74.249,257.6,,2
75.086,260.5,,2
75.928,262.4,,2
76.772,265.6,,2
77.623,268.7,4.95,2
78.879,271.6,,2
79.738,274.2,,2
80.602,276.9,,2
81.469,279.8,,2
82.340,281.7,6.33,2
83.612,285.4,,2
84.493,287.8,,2
85.379,291.1,,2
86.266,293.1,,2
87.158,294.8,7.73,2
88.454,299.5,,2
89.356,302.4,,2
90.263,304.5,,2
91.175,307.3,,2
92.088,309.1,9.16,2
93.407,314.0,,2
94.332,315.9,,2
95.261,318.9,,2
96.193,321.0,,2
97.134,324.6,10.63,2
98.476,328.5,,2
99.422,330.6,,2
100.375,333.6,,2
101.333,336.6,,2
102.295,339.6,12.13,2
103.658,343.4,,2
104.629,346.4,,2
105.606,348.6,,2
106.588,352.0,,2
107.575,354.8,13.67,2
108.965,359.2,,2
109.960,361.6,,2
110.960,364.9,,2
111.965,367.8,,2
112.975,370.1,15.24,2
114.388,374.0,,2
115.410,377.3,,2
116.436,380.4,,2
117.468,383.5,,2
118.505,386.6,16.85,2
119.941,389.8,,2
120.987,393.9,,2
122.037,396.2,,2
123.092,399.5,,2
124.153,401.9,18.49,2
125.618,407.7,,2
126.689,410.1,,2
127.766,413.5,,2
128.847,416.2,,2
129.933,419.7,20.18,2
131.423,424.1,,2
132.521,427.3,,2
133.625,430.5,,2
134.734,432.9,,2
135.851,437.2,21.90,2
137.370,441.1,,2
138.497,443.9,,2
139.628,447.1,,2
140.766,451.0,,2
141.908,454.1,23.66,2
143.453,459.0,,2
144.606,462.2,,2
145.766,465.3,,2
146.932,469.3,,2
148.103,472.0,25.46,2
149.676,476.6,,2
150.858,480.2,,2
152.047,483.2,,2
153.241,486.8,,2
154.441,490.4,27.31,2
156.042,494.8,,2
157.252,498.5,,2
158.471,502.6,,2
159.696,506.3,,2
160.922,509.2,29.19,2
162.555,514.5,,2
163.797,517.0,,2
165.046,521.7,,2
166.299,524.4,,2
167.558,528.1,31.13,2
169.220,533.6,,2
170.494,537.1,,2
171.773,540.9,,2
173.056,544.5,,2
174.346,548.1,33.10,2
176.040,553.9,,2
177.347,558.2,,2
178.659,562.0,,2
179.977,565.6,,2
181.300,568.9,35.12,2
183.026,574.3,,2
184.364,578.1,,2
185.708,582.6,,2
187.059,586.6,,2
188.416,590.4,37.20,2
190.178,595.4,,2
191.549,599.2,,2
192.926,603.2,,2
194.310,607.5,,2
195.698,610.6,39.32,2
197.493,616.7,,2
198.897,620.6,,2
200.307,624.7,,2
201.724,628.7,,2
203.149,633.6,41.48,2
204.976,638.5,,2
206.415,642.6,,2
207.860,646.6,,2
209.310,650.8,,2
210.768,654.8,43.70,2
212.632,660.5,,2
214.106,664.9,,2
215.585,669.5,,2
217.072,673.1,,2
218.566,677.4,45.97,2
220.465,683.2,,2
221.974,687.7,,2
223.489,692.0,,2
225.012,696.6,,2
226.543,700.8,48.29,2
228.480,707.0,,2
230.027,711.3,,2
231.581,715.7,,2
233.141,719.9,,2
234.710,725.1,50.67,2
236.683,730.6,,2
238.265,735.0,,2
239.854,739.4,,2
241.451,744.6,,2
243.057,749.0,53.10,2
245.068,755.3,,2
246.689,759.7,,2
248.319,764.1,,2
249.958,769.0,,2
251.602,773.2,55.58,2
253.654,780.1,,2
255.315,784.0,,2
256.985,789.2,,2
258.663,794.8,,2
260.348,799.7,58.13,2
262.438,805.9,,2
264.141,810.0,,2
265.852,814.9,,2
267.571,820.8,,2
269.297,826.1,60.73,2
271.427,830.9,,2
273.172,836.7,,2
274.923,841.3,,2
276.682,847.0,,2
278.451,852.5,63.40,2
280.626,858.4,,2
282.413,863.2,,2
284.207,868.6,,2
286.011,874.5,,2
287.822,879.4,66.12,2
290.040,885.0,,2
291.866,888.6,,2
293.703,895.0,,2
295.546,899.5,,2
297.399,905.2,68.91,2
299.658,911.6,,2
301.529,917.4,,2
