n,mode,bytes,pages,mean_s,sd_s,samples,resident_pages,digest
90,comp,32400,7,0.000031,0.000004,90,0,
90,dram_cold,32400,7,0.000052,0.000004,90,0,736700c521f840970896ecae0b7380ac1ae95db1f9664b967c370a964938080c
90,dram_warm,32400,7,0.00002999,0.00000001,90,0,f6cf44e0dba9aefda40ac722f5c23203106d8cf1e8ee5bab7d6c26c00b4440aa
90,nor_cold,32400,7,0.00024400,0.00001000,90,8,736700c521f840970896ecae0b7380ac1ae95db1f9664b967c370a964938080c
90,nor_warm,32400,7,0.00002999,0.00000001,90,8,f6cf44e0dba9aefda40ac722f5c23203106d8cf1e8ee5bab7d6c26c00b4440aa
128,comp,65536,16,0.000061,0.000005,90,0,
128,dram_cold,65536,16,0.000105,0.000008,90,0,5b32f23bb1b7e78c157ebeefef5a6e4bb1058ebfea76d0ea92b3eaaf1ad8f82d
128,dram_warm,65536,16,0.00006552,0.00000004,90,0,14d36a59c839024fcb2fc1e2ee43d66a1fe123e520de9969a3ce65c5808a504b
128,nor_cold,65536,16,0.00048500,0.00001100,90,16,5b32f23bb1b7e78c157ebeefef5a6e4bb1058ebfea76d0ea92b3eaaf1ad8f82d
128,nor_warm,65536,16,0.00006552,0.00000003,90,16,14d36a59c839024fcb2fc1e2ee43d66a1fe123e520de9969a3ce65c5808a504b
181,comp,131044,31,0.000118,0.000005,90,0,
181,dram_cold,131044,31,0.000205,0.000007,90,0,5382b49e91b699da4de8a6fd6f22f9689f73b9b89cc113227d5013ff8b3ff55f
181,dram_warm,131044,31,0.00013039,0.00000005,90,0,07c945b6e486b1af172659c5295f984b9fc7fde1cc090a502cd470cc0f4817f6
181,nor_cold,131044,31,0.00096400,0.00000700,90,32,5382b49e91b699da4de8a6fd6f22f9689f73b9b89cc113227d5013ff8b3ff55f
181,nor_warm,131044,31,0.00013040,0.00000004,90,32,07c945b6e486b1af172659c5295f984b9fc7fde1cc090a502cd470cc0f4817f6
256,comp,262144,64,0.000236,0.000007,90,0,
256,dram_cold,262144,64,0.000407,0.000009,90,0,fca44fbca35c47b0bfb31a035a5986d02b4de6a5dc42a253e3a9fec3a7890c25
256,dram_warm,262144,64,0.00025990,0.00000008,90,0,4b8f4fba80cfc68cce9869b8f505caaa455609a9e36c06a3a84b676f0dfbf7ec
256,nor_cold,262144,64,0.00190800,0.00001800,90,64,fca44fbca35c47b0bfb31a035a5986d02b4de6a5dc42a253e3a9fec3a7890c25
256,nor_warm,262144,64,0.00025987,0.00000009,90,64,4b8f4fba80cfc68cce9869b8f505caaa455609a9e36c06a3a84b676f0dfbf7ec
362,comp,524176,127,0.000469,0.000009,90,0,
362,dram_cold,524176,127,0.000808,0.000008,90,0,4560f5a23e675897d7cb63829e594535d59019bf46926e01b2532f5d56a3edcc
362,dram_warm,524176,127,0.00051813,0.00000015,90,0,3e979e42a814a2e925738af9082d9b5302eec1861972ef99062b4346cd7489f9
362,nor_cold,524176,127,0.00390500,0.00001100,90,128,4560f5a23e675897d7cb63829e594535d59019bf46926e01b2532f5d56a3edcc
362,nor_warm,524176,127,0.00051819,0.00000015,90,128,3e979e42a814a2e925738af9082d9b5302eec1861972ef99062b4346cd7489f9
512,comp,1048576,256,0.000932,0.000005,90,0,
512,dram_cold,1048576,256,0.001620,0.000011,90,0,1daf075349267030b36ec299ac4370f241182d69857aa47d170a469901be1e69
